planner_item_id	peq_item_id	item_name	icon_id
1	27263	100' of Waterproofed Rope	1140
2	14549	10 Dose Adrenaline Tap	697
3	14536	10 Dose Ant's Potion	698
4	14534	10 Dose Blood of the Wolf	699
5	14542	10 Dose Ethira's Poison Antidote	705
6	14527	10 Dose Greater Null Potion	692
7	14526	10 Dose Greater Potion of Antibody	808
8	14528	10 Dose Greater Potion of Cold	693
9	14529	10 Dose Greater Potion of Heat	694
10	14547	10 Dose Greater Potion of Negation	707
11	14530	10 Dose Greater Potion of Purity	695
12	14493	10 Dose Greater Potion of Vigor	600
13	14539	10 Dose Kilva's Blistering Flesh	702
14	14548	10 Dose Kilva's Skin of Flame	702
15	14543	10 Dose Kithar's Disease Treatment	706
16	14478	10 Dose Minor Null Potion	692
17	14479	10 Dose Minor Potion of Cold	693
18	14480	10 Dose Minor Potion of Heat	694
19	14489	10 Dose Null Potion	692
20	14540	10 Dose Potion of Antiweight	703
21	14541	10 Dose Potion of Aquatic Haunt	704
22	14483	10 Dose Potion of Cohesion	599
23	14490	10 Dose Potion of Cold	693
24	14464	10 Dose Potion of Dulsehound	697
25	14470	10 Dose Potion of Graveyard Dust	585
26	14476	10 Dose Potion of Lesser Power	806
27	14473	10 Dose Potion of Lesser Stability	585
28	14471	10 Dose Potion of Lesser Vigor	600
29	14487	10 Dose Potion of Power	806
30	14532	10 Dose Potion of Rejuvenation	696
31	14546	10 Dose Potion of Spirit Shield	701
32	14468	10 Dose Potion of Stinging Wort	705
33	14545	10 Dose Potion of Unlife Awareness	698
34	14482	10 Dose Potion of Vigor	600
35	14576	10 Dose Potion of the Bone Field	806
36	14570	10 Dose Potion of the Frost	806
37	14571	10 Dose Potion of the Swamp	806
38	14537	10 Dose Serpent's Conviction	700
39	14535	10 Dose Vial of Tamed Mercury	697
40	14533	10 Doses of Greater Rejuvenation	696
41	14531	10 Doses of Lesser Rejuvenation	696
42	10610	1st Piece of Staff	686
43	10611	2nd Piece of Staff	686
44	22536	2x Brewed 2x Stout Dwarven Ale	702
45	10612	3rd Piece of Staff	686
46	10613	4th Piece of Staff	686
47	14297	5 Dose Adrenaline Tap	697
48	14284	5 Dose Ant's Potion	698
49	14282	5 Dose Blood of the Wolf	699
50	14290	5 Dose Ethira's Poison Antidote	705
51	14275	5 Dose Greater Null Potion	692
52	14268	5 Dose Greater Potion of Vigor	600
53	14296	5 Dose Kilva's Skin of Flame	702
54	14253	5 Dose Minor Null Potion	692
55	14289	5 Dose Potion of Aquatic Haunt	704
56	14258	5 Dose Potion of Cohesion	599
57	14265	5 Dose Potion of Cold	693
58	14197	5 Dose Potion of Lesser Stability	585
59	14195	5 Dose Potion of Lesser Vigor	600
60	14293	5 Dose Potion of Unlife Awareness	698
61	14257	5 Dose Potion of Vigor	600
62	14575	5 Dose Potion of the Bone Field	806
63	14298	5 Dose Potion of the Frost	806
64	14299	5 Dose Potion of the Swamp	806
65	14283	5 Dose Vial of Tamed Mercury	697
66	17931	A 'Sparkle' Purse	582
67	12305	A Bar of Ronium	1092
68	18160	A Bardic Letter (Kelethin)	866
69	24551	A Black Crown	653
70	24552	A Black Knight	654
71	24553	A Black Squire	649
72	24550	A Black Throne	651
73	24559	A Blue Crown	653
74	24560	A Blue Knight	654
75	24561	A Blue Squire	649
76	24558	A Blue Throne	651
77	12712	A Bone Key	1078
78	12713	A Bone Necklace	502
79	18116	A Bowyers Guide	778
80	13882	A Box of Bones	836
81	11947	A Broken Vine	813
82	12711	A Bronze Key	1077
83	16544	A Broom	889
84	20881	A Burnt Sash	938
85	12977	A Canine	801
86	12756	A Chant Rock	944
87	12837	A Copper Key	1077
88	12844	A Cracked Femur	905
89	13357	A Cracked Stein	708
90	13355	A Crude Stein	708
91	12309	A Dark Cauldron	1017
92	5404	A Dark Reaver	519
93	13712	A Doll	720
94	6705	a Dusty Ribcage	974
95	12394	A Dusty Sealed Canopic	1018
96	11706	A Faded Salil's Writ Page	870
97	11579	A Farsight Crystal	507
98	12734	A Froglok Hex Doll	1007
99	2410	A Ghoul's Heart	1003
100	25449	A Giant's Broom	889
101	12671	A Giant Blood Sac	820
102	24877	A Gigantic Kromzek Pick	888
103	12339	A Glimmering Fairie Wing	1146
104	12401	A Glowing Skull	1070
105	24870	A Gossamer Wing	908
106	10361	A Gypsy Medallion	566
107	0	A Hallowed Pixie's Rib	514
108	13861	A Jar of Liquid	1006
109	12737	A Koada'Dal Blood Doll	1007
110	9510	A Library Card	867
111	12995	A Locked Chest	836
112	12312	A Locket	1147
113	12727	A Mandible	1125
114	12979	A Metal Pipe	601
115	29656	A Mischievous Dazzler Doll	720
116	5401	A Mithril Two-Handed Sword	519
117	13881	A Nicked Coin	645
118	13361	A Noble's Crest	754
119	18214	A Page of a Poem	504
120	18220	A Page of A Tome	504
121	2414	A Pendant	1043
122	6883	A Rabbit Foot	743
123	11948	A Rare Leaf	795
124	24555	A Red Crown	653
125	24556	A Red Knight	654
126	24557	A Red Squire	649
127	24554	A Red Throne	651
128	14041	A Rolled Up Note	861
129	11949	A Root	1203
130	12896	A Ruby	964
131	12898	A Sapphire	954
132	12982	A Sarnak War Braid	1132
133	12830	A Scarlet Stone	964
134	12846	A Scorpion Telson	1123
135	18079	A Scroll	504
