set_name	source	classes	item_id	item_name	slot
Akkirus' Armor of the Risen	Skyshrine	CLR	228	Akkirus' Crown of the Risen	head
Akkirus' Armor of the Risen	Skyshrine	CLR	227	Akkirus' Chestplate of the Risen	chest
Akkirus' Armor of the Risen	Skyshrine	CLR	232	Akkirus' Vambraces of the Risen	arms
Akkirus' Armor of the Risen	Skyshrine	CLR	226	Akkirus' Bracelet of the Risen	wrist1
Akkirus' Armor of the Risen	Skyshrine	CLR	230	Akkirus' Gauntlets of the Risen	hands
Akkirus' Armor of the Risen	Skyshrine	CLR	231	Akkirus' Greaves of the Risen	legs
Akkirus' Armor of the Risen	Skyshrine	CLR	225	Akkirus' Boots of the Risen	feet
Apothic Armor	Plane of Hate	MAG	345	Apothic Boots	feet
Apothic Armor	Plane of Hate	MAG	346	Apothic Crown	head
Apothic Armor	Plane of Hate	MAG	347	Apothic Gloves	hands
Apothic Armor	Plane of Hate	MAG	348	Apothic Kilt	legs
Apothic Armor	Plane of Hate	MAG	349	Apothic Robe	chest
Apothic Armor	Plane of Hate	MAG	350	Apothic Sleeves	arms
Apothic Armor	Plane of Hate	MAG	351	Apothic Warband	wrist1
Arch Mage's Armor	Thurgadin	MAG	371	Arch Mage's Crown	head
Arch Mage's Armor	Thurgadin	MAG	374	Arch Mage's Robe	chest
Arch Mage's Armor	Thurgadin	MAG	375	Arch Mage's Sleeves	arms
Arch Mage's Armor	Thurgadin	MAG	376	Arch Mage's Warband	wrist1
Arch Mage's Armor	Thurgadin	MAG	372	Arch Mage's Gloves	hands
Arch Mage's Armor	Thurgadin	MAG	373	Arch Mage's Pantaloons	legs
Arch Mage's Armor	Thurgadin	MAG	370	Arch Mage's Boots	feet
Arctic Wyvern Armor	Crafted	SHM	382	Arctic Wyvern Boots	feet
Arctic Wyvern Armor	Crafted	SHM	393	Arctic Wyvern Wristbands	wrist1
Arctic Wyvern Armor	Crafted	SHM	391	Arctic Wyvern Sleeves	arms
Arctic Wyvern Armor	Crafted	SHM	392	Arctic Wyvern Tunic	chest
Arctic Wyvern Armor	Crafted	SHM	383	Arctic Wyvern Cloak	back
Arctic Wyvern Armor	Crafted	SHM	384	Arctic Wyvern Gloves	hands
Arctic Wyvern Armor	Crafted	SHM	387	Arctic Wyvern Leggings	legs
Arctic Wyvern Armor	Crafted	SHM	390	Arctic Wyvern Skullcap	head
Arctic Wyvern Armor	Crafted	SHM	381	Arctic Wyvern Belt	waist
Arctic Wyvern Armor	Crafted	SHM	385	Arctic Wyvern Gorget	neck
Arctic Wyvern Armor	Crafted	SHM	388	Arctic Wyvern Mask	face
Arctic Wyvern Armor	Crafted	SHM	389	Arctic Wyvern Shoulderpads	shoulders
Armor of Conjuration	Plane of Growth	MAG	1686	Circlet of Conjuration	head
Armor of Conjuration	Plane of Growth	MAG	7554	Robe of Conjuration	chest
