category	class_name	quest_name	reward_name	reward_icon_id	component_name	component_icon_id	quantity	slot	faction	note	source_url
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Alluring Horn	594	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Amygdalan Tendril	596	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Chromodrac Gut	853	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Forpar's Note to Himself	860	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Kedge Backbone	907	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Maestro's Symphony Page 24 Bottom	860	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Maestro's Symphony Page 24 Top	870	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Maestro's Symphony Page 25	870	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Mahlin's Mystical Bongos	1152	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Maligar's Head	982	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Mechanical Doll	720	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Mystical Lute	551	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Mystical Lute Body	686	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Mystical Lute Head	686	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Note for Baenar	862	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Note to Forpar Fizfla	868	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Note to Maligar	862	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Onyx Drake Gut	853	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Petrified Werewolf Skull	744	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Proof of Speed	765	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Red Dragon Scales	1232	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Red Wurm Gut	853	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Ripped Qeynos Bards Guild Flyer	864	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Solusek Mining Company Invoice	860	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Torch of Misty	559	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Torch of Rathe	559	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Torch of Ro	559	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	Undead Dragongut Strings	853	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Bard	Bard Epic Quest	Singing Short Sword	882	White Dragon Scales	1088	1				https://wiki.project1999.com/Bard_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Blood Soaked Plasmatic Priest Robe	931	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Coral Statue of Tarew	895	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Damaged Goblin Crown	523	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Heart of Zordak Ragefire	1003	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Lord Bergurgle's Crown	523	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Lord Gimblox's Signet Ring	1148	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Message to Natasha	864	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Oil of Fennin Ro	697	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Orb of Clear Water	507	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Orb of Frozen Water	507	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Ornate Sea Shell	1223	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Sceptre of Ixiblat Fer	822	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Cleric	Cleric Epic Quest	Water Sprinkler of Nem Ankh	741	Shimmering Pearl	953	1				https://wiki.project1999.com/Cleric_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Ancient Pattern	504	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Ancient Rock	734	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Bag of Provisions	557	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Braided Grass Amulet	1053	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Chilled Tundra Root	583	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Chunk of Tundra	1095	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Clean Lakewater	584	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Cleansed Spirit of Antonica	507	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Cleansed Spirit of Faydwer	507	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Cleansed Spirit of Kunark	507	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Crushed Pot	1031	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Dark Metal Coin	647	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Earth Stained Note	504	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Elaborate Scimitar	1169	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Enchanted Clay	1135	1				https://wiki.project1999.com/Druid_Epic_Quest
epic	Druid	Druid Epic Quest	Nature Walkers Scimitar	1169	Faelin's Ring	1060	1				https://wiki.project1999.com/Druid_Epic_Quest
