class_name	level	spell_name	trivial	research_only	availability	source_url	component_name	icon_id	quantity	component_kind
Enchanter	16	Levitate	22	0	Yes	https://wiki.project1999.com/Research	Part of Tasarin's Grimoire Pg. 23	1005	2	page
Enchanter	16	Disempower	22	0	Yes	https://wiki.project1999.com/Research	Part of Tasarin's Grimoire Pg. 24	1005	2	page
Enchanter	16	Mesmerization	22	1	No	https://wiki.project1999.com/Research	Part of Tasarin's Grimoire Pg. 26	1005	2	page
Enchanter	20	Berserker Strength	42	1	No	https://wiki.project1999.com/Research	Part of Tasarin's Grimoire Pg. 30	1005	2	page
Enchanter	20	Color Shift	42	1	No	https://wiki.project1999.com/Research	Part of Tasarin's Grimoire Pg. 312	1005	2	page
Enchanter	20	Endure Magic	42	0	Yes	https://wiki.project1999.com/Research	Part of Tasarin's Grimoire Pg. 375	1005	2	page
Enchanter	24	Strip Enchantment	62	1	No	https://wiki.project1999.com/Research	Part of Tasarin's Grimoire Pg. 390	1005	2	page
Enchanter	24	Tepid Deeds	62	1	No	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 8	869	1	page
Enchanter	24	Tepid Deeds	62	1	No	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 9	869	1	page
Enchanter	24	Invigor	62	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 16	869	1	page
Enchanter	24	Invigor	62	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg.17	869	1	page
Enchanter	29	Ultravision	95	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 43	869	1	page
Enchanter	29	Ultravision	95	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 44	869	1	page
Enchanter	29	Nullify Magic	95	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 67	869	1	page
Enchanter	29	Nullify Magic	95	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 68	869	1	page
Enchanter	29	Enstill	95	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 75	869	1	page
Enchanter	29	Enstill	95	0	Yes	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 76	869	1	page
Enchanter	29	Feedback	95	1	No	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 108	869	1	page
Enchanter	29	Feedback	95	1	No	https://wiki.project1999.com/Research	Velishoul's Tome Pg. 109	869	1	page
Enchanter	34	Insipid Weakness	122	1	No	https://wiki.project1999.com/Research	Salil's Writ Pg. 60	1005	2	page
Enchanter	34	Radiant Visage	122	1	No	https://wiki.project1999.com/Research	Salil's Writ Pg. 64	1005	2	page
Enchanter	34	Mana Sieve	122	1	No	https://wiki.project1999.com/Research	Salil's Writ Pg. 90	1005	2	page
Enchanter	39	Resist Magic	142	0	Yes	https://wiki.project1999.com/Research	Salil's Writ Pg. 153	1005	2	page
Enchanter	39	Gravity Flux	142	1	No	https://wiki.project1999.com/Research	Salil's Writ Pg. 174	1005	2	page
Enchanter	39	Immobilize	142	0	Yes	https://wiki.project1999.com/Research	Salil's Writ Pg. 282	1005	2	page
Enchanter	39	Mind Wipe	142	1	No	https://wiki.project1999.com/Research	Salil's Writ Pg. 288	1005	2	page
Enchanter	44	Pillage Enchantment	162	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 35	869	1	page
Enchanter	44	Pillage Enchantment	162	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 36	869	1	page
Enchanter	44	Color Skew	162	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 115	869	1	page
Enchanter	44	Color Skew	162	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 116	869	1	page
Enchanter	44	Shiftless Deeds	162	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 300	869	1	page
Enchanter	44	Shiftless Deeds	162	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 301	869	1	page
Enchanter	44	Extinguish Fatigue	162	0	Yes	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 351	869	1	page
Enchanter	44	Extinguish Fatigue	162	0	Yes	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 352	869	1	page
Enchanter	49	Allure	182	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 378	869	1	page
Enchanter	49	Allure	182	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 379	869	1	page
Enchanter	49	Paralyzing Earth	182	0	Unknown	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 400	869	1	page
Enchanter	49	Paralyzing Earth	182	0	Unknown	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 401	869	1	page
Enchanter	49	Blanket of Forgetfulness	182	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 415	869	1	page
Enchanter	49	Blanket of Forgetfulness	182	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 416	869	1	page
Enchanter	49	Reoccurring Amnesia	182	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 449	869	1	page
Enchanter	49	Reoccurring Amnesia	182	1	No	https://wiki.project1999.com/Research	Nilitim's Grimoire Pg. 450	869	1	page
Magician	16	Summon Heatstone	21	0	True	https://wiki.project1999.com/Research	Words of the Element	869	1	word
Magician	16	Summon Heatstone	21	0	True	https://wiki.project1999.com/Research	Spell: Elemental Armor		1	spell
Magician	16	Summon Heatstone	21	0	True	https://wiki.project1999.com/Research	Bloodstone	947	1	other
Magician	16	Minor Summoning: Air	22	0	True	https://wiki.project1999.com/Research	Words of Tyranny	869	1	word
Magician	16	Minor Summoning: Air	22	0	True	https://wiki.project1999.com/Research	Spell: Elemental: Air		1	spell
Magician	16	Minor Summoning: Air	22	0	True	https://wiki.project1999.com/Research	Aviak Feather	514	1	other
Magician	16	Minor Summoning: Earth	22	0	True	https://wiki.project1999.com/Research	Words of Tyranny	869	1	word
Magician	16	Minor Summoning: Earth	22	0	True	https://wiki.project1999.com/Research	Spell: Elemental: Earth		1	spell
Magician	16	Minor Summoning: Earth	22	0	True	https://wiki.project1999.com/Research	Small Brick of Ore	1135	1	other
