item_name	spell_name	proc_level
Ancient Fire Etched Flamberge	Flame of the Efreeti	1
Baton of Flame	Flame of the Efreeti	1
Blackstar, Mace of Night	Blessing of the Blackstar	1
Blood Runed Scimitar	Lifedraw	1
Blood Runed Short Sword	Lifespike	1
Braid of Golden Hair	Swarming Pain	1
Burynaibane Spider Fang	Sear	1
Charred Black Staff	Shield of Flame	1
Coldain Velium Dagger	Velium Shards	1
Coldain Velium Great Staff	Velium Shards	1
Coldain Velium Long Sword	Velium Shards	1
Coldain Velium Morning Star	Velium Shards	1
Coldain Velium Scimitar	Velium Shards	1
Coldain Velium Short Sword	Velium Shards	1
Crookstinger	Weak Poison	1
Crystalline Spider Fang	Velium Shards	1
Dagarn's Tail	Fire Bolt	1
Dirk of the Dain	Frost Strike	1
Dirk of the Traitor	Rodrick's Gift	1
Doljonijiarnimorinar	Doljon's Rage	1
Dragonspine Rapier	Kylie's Venom	1
Drakkel Icegrinder	Ice Rend	1
Embalmers Skinning Knife	Summon Bandages	1
Essence Blade	Essence Drain	1
Falgiron Staff	Tashani	1
Fire Crystal Staff	Shock of Fire	1
Fist of Nature	Engulfing Roots	1
Frost Giant Femur	Yaulp II	1
Garduk	Tagar's Insects	1
Gaudralek, Sword of the Sky	Rage of the Sky	1
Gharn's Rock of Smashing	Strike of the Chosen	1
Glowing Club	Reckless Strength	1
Hammer of Exoneration	Bone Shatter	1
Ice Crystal Staff	Blast of Cold	1
Infestation	Poison	1
Ivory Handled Falchion	Heat Blood	1
Jaelen's Katana	Strike of the Chosen	1
Kreizenn's Flame	Flame of the Efreeti	1
Magnetic Dirk of Distraction	Distraction	1
Massive Heartwood Thorn	Combust	1
Mrylokar's Dagger of Blood	Feast of Blood	1
Mrylokar`s Dagger of Vengeance	Feast of Blood	1
Mystical Laig Staff	Fire Spiral of Al'Kabor	1
Narandi's Lance	Boiling Blood	1
Nature's Melody	Song of the Deep Seas	1
Palladius' Axe of Slaughter	Strike of the Chosen	1
Petrified Heartwood Flamberge	Engulfing Roots	1
Poisoned Whip	Tainted Breath	1
Primal Velium Battle Axe	Avatar	1
Primal Velium Battlehammer	Avatar	1
Primal Velium Brawl Stick	Avatar	1
Primal Velium Claidhmore	Avatar	1
Primal Velium Fist Wraps	Avatar	1
Primal Velium Knight's Sword	Avatar	1
Primal Velium Spear	Avatar	1
Primal Velium War Lance	Avatar	1
Primal Velium Warsword	Avatar	1
Sarnak Devastator	Holy Might	1
Scourgetail Whip	Weak Poison	1
Shadow Rager	Berserker Strength	1
Shining Star of Light	Cleanse	1
Silver Whip of Rage	Silver Skin	1
Siren Song, Dagger of the Sea	Song of the Deep Seas	1
Skullcrusher of Kragg	Stun	1
Sledge of Smashing	Wrath	1
Slime Crystal Staff	Sicken	1
Smoldering Brand	Burn	1
Staff of the Silent Star	Flames of Ro	1
Stalagterror Spine Spear	Disempower	1
Stronghorn's Horn	Knockback	1
Tentacle Whip	Lifetap	1
Twisted Oaken Staff	Shadow Vortex	1
Velium Crystal Staff	Frost Strike	1
Venomous Axe of the Velium Brood	Poisonous Chill	1
Very Rusty Dagger	Disease Cloud	1
Vindication	Cancel Magic	1
Water Crystal Staff	Shallow Breath	1
Wavecrasher	Breath of the Sea	1
Wrapped Entropy Serpent Spine	Blinding Poison III	1
Zeriphra's Dagger of Blood	Feast of Blood	1
Howling Werewolf Claws	Tashani	4
Canyoneer Pike	Drowsy	5
Bonethunder Staff	Ward Undead	10
Iksar Berserker Club	Fleeting Fury	10
Noclin's Femur	Sicken	10
Polished Granite Tomahawk	Berserker Strength	10
Screaming Mace	Screaming Mace	10
Whip of Strangulation	Choke	10
Ancient Snake Fang	Weak Poison	15
Blade of the Earthcaller	Root	15
Bloody Dirk	Disease Cloud	15
Dagger of Dropping	Weaken	15
Drogan Obsidian Dagger	Obsidian Shatter	15
Glaive of Marltek	Snare	15
Goblin Skull Crusher	Stun	15
Windetched Staff	Careless Lightning	15
Windruned Dagger	Careless Lightning	15
Obsidian Shard	Obsidian Shatter	16
Obsidian Flamberge	Obsidian Shatter	17
Rotwood Club	Disease Cloud	18
Sap Sheen Staff	Root	18
Stiletto of the Bloodclaw	Blood Claw	18
Treant Staff	Root	18
Blade of Fiery Lamentations	Fingers of Fire	20
Cat o' Nine Tails	Feet like Cat	20
Corrupted Ghoulbane	Dismiss Undead	20
Craslith	Dismiss Undead	20
Ghoulbane	Dismiss Undead	20
Icy Blade	Shock of Ice	20
Incandescent Wand	Color Shift	20
Kicsh Der Pavz	Strong Poison	20
Pondfish Spine	Poison	20
Rotted Staff	Infectious Cloud	20
Sainy's Singing Dagger	Symphonic Harmony	20
Sarnak Flesh Harvester	Insidious Fever	20
Spear of Mortification	Stun	20
Spirit Reaver	Lifespike	20
Summoned: Sword of Runes	Ward Summoned	20
Wakizashi of the Frozen Skies	Spirit Strike	20
Woe	Affliction	20
Two Handed Practice Sword	Shield of Thistles	22
Axe of the Frost	Blast of Cold	25
Earthen Blade	Haste	25
Ebony Bladed Sword	Ensnaring Roots	25
